Name,Name_tag,ID,Position
Kerem Demirbay,kerem-demirbay,125858,Central Midfield
Axel Witsel,axel-witsel,35047,Defensive Midfield
Phil Foden,phil-foden,406635,Central Midfield
Sandro Tonali,sandro-tonali,397033,Defensive Midfield
Igor Zubeldia,igor-zubeldia,355628,Defensive Midfield
Marc Roca,marc-roca,336869,Defensive Midfield
Dani Olmo,dani-olmo,293385,Attacking Midfield
Carles Aleñá,carles-alena,284854,Central Midfield
Marcos Llorente,marcos-llorente,282411,Defensive Midfield
David Brooks,david-brooks,277033,Attacking Midfield
Stefano Sensi,stefano-sensi,216179,Central Midfield
Ruben Loftus-Cheek,ruben-loftus-cheek,202886,Central Midfield
Maximilian Eggestein,maximilian-eggestein,190284,Central Midfield
Eric Dier,eric-dier,175722,Defensive Midfield
Danilo Pereira,danilo-pereira,141050,Defensive Midfield
Geoffrey Kondogbia,geoffrey-kondogbia,127189,Central Midfield
Idrissa Gueye,idrissa-gueye,126665,Defensive Midfield
Emre Can,emre-can,119296,Defensive Midfield
Granit Xhaka,granit-xhaka,111455,Defensive Midfield
Oscar,oscar,85314,Attacking Midfield
Dani Parejo,dani-parejo,59561,Central Midfield
Denis Zakaria,denis-zakaria,334526,Defensive Midfield
Scott McTominay,scott-mctominay,315969,Central Midfield
Talisca,talisca,258626,Attacking Midfield
Rafa Silva,rafa-silva,238055,Left Midfield
André Gomes,andre-gomes,221025,Central Midfield
Jean-Philippe Gbamin,jean-philippe-gbamin,182894,Defensive Midfield
Morgan Sanson,morgan-sanson,174094,Central Midfield
Leander Dendoncker,leander-dendoncker,168157,Defensive Midfield
Gylfi Sigurdsson,gylfi-sigurdsson,90466,Attacking Midfield
Jonathan Ikoné,jonathan-ikone,324690,Attacking Midfield
Ross Barkley,ross-barkley,131978,Central Midfield
Thomas Delaney,thomas-delaney,91849,Central Midfield
Javi Martínez,javi-martinez,44017,Defensive Midfield
Nahitan Nández,nahitan-nandez,315063,Central Midfield
Reinier,reinier,627226,Attacking Midfield
Exequiel Palacios,exequiel-palacios,401578,Central Midfield
André Zambo Anguissa,andre-zambo-anguissa,354361,Defensive Midfield
Jeff Reine-Adélaïde,jeff-reine-adelaide,326300,Central Midfield
Gaetano Castrovilli,gaetano-castrovilli,303116,Central Midfield
Franck Kessié,franck-kessie,294808,Central Midfield
Aleksandr Golovin,aleksandr-golovin,263918,Attacking Midfield
Jefferson Lerma,jefferson-lerma,262980,Defensive Midfield
Rodrigo de Paul,rodrigo-de-paul,255901,Attacking Midfield
Bryan Cristante,bryan-cristante,199248,Central Midfield
Julian Weigl,julian-weigl,196792,Defensive Midfield
Stanislav Lobotka,stanislav-lobotka,192735,Defensive Midfield
Raphaël Guerreiro,raphael-guerreiro,170986,Left Midfield
